,TIC monthly reports on Cross-Border Portfolio Financial Flows through April 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-Jun-22,,,,($ millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Increase,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,in Foreign,,,,,,,,,,
,Gross,Gross,,,,,,,,,,,,,,,,,,,,Holdings,,,,,,,,,,
,Foreign,Foreign,,,,,,,,,,,,Gross,Gross,,,,,,,of Dollar-,,,,,,,Change,,,
,Purch.,Sales,,,,,,,,,,,,Foreign,Foreign,,,,,,Net,denom.,,,,Other,,,in Banks',,,
,of,of,Domes.,,Private,Private,,,,Official,Official,,,Purch.,Sales,Foreign,,,Net,Other,Foreign,S-T U.S. ,,,,Negot.,,,Own ,,,
Rows in,Domes.,Domes.,L-T,,Treas,Gov't,Private,,,Treas,Gov't,Official,,Foreign,Foreign,L-T,Foreign,Foreign,L-T,Acquis.,Acquis.,Secur.&,,,,Instr.&,,,Net,Monthly,,
monthly,U.S.,U.S.,"Secur.,",,Bonds&,Agency,Corp,Private,,Bonds&,Agency,Corp,Official,L-T,L-T,"Secur.,",Bonds,Equity,"Secur.,",L-T,of,Other,U.S.,,,Select.,,,Dollar-,Net ,,
press,L-T,L-T,"Purch.,","Private,","Notes,","Bonds,","Bonds,","Equity,","Official,","Notes,","Bonds,","Bonds,","Equity,",Secur.,Secur.,"Purch.,","Purch.,","Purch.,",Transac.,"Secur.,",L-T,Custody,Treas.,"Private,","Official,",Other,"Private,","Official,",denom.,TIC,"Private,","Official,"
release,Secur.,Secur.,net,net,net,net,net,Net,net,net,net,net,Net,from US,to US,net,net,net,,net,Secur.,Liabs.,"Bills,",net,net,"Liabs,",net,net,Liabs.,Flows,net,net
table -->,[1],[2],[3],[4],[5],[6],[7],[8],[9],[10],[11],[12],[13],[14],[15],[16],[17],[18],[19],[20],[21],[22],[23],[24],[25],[26],[27],[28],[29],[30],[31],[32]
,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------,    -------
2022-Apr,5063240,5012202,51038,34720,10957,9231,19958,-5426,16318,-12109,27483,2629,-1685,2037375,2000716,36659,29283,7376,87697,-19546,68151,-35922,-20836,-17761,-3075,-15086,-16268,1182,-30893,1336,-9275,10611
2022-Mar,6717738,6697507,20231,29395,81197,10038,28720,-90560,-9164,-32402,22354,4662,-3778,2720728,2717849,2879,7317,-4438,23110,-20941,2169,12147,-16426,2230,-18656,28573,33310,-4737,94363,108679,131760,-23082
2022-Feb,5759479,5667959,91520,87145,91545,1615,18650,-24665,4375,-16214,19662,1690,-763,2015963,1965757,50206,35352,14854,141726,44007,185733,59214,27964,16344,11620,31250,28040,3210,-43776,201171,236350,-35179
2022-Jan,5742481,5688565,53916,29139,62072,5949,5852,-44734,24777,12287,16683,1769,-5962,1909723,1904815,4908,23208,-18300,58824,-20563,38261,66162,9450,-9631,19081,56712,53605,3107,155453,259876,216174,43702
2021-Dec,5671456,5594569,76887,77487,53882,-194,-5700,29499,-600,-9680,6444,1685,951,1740567,1702940,37627,32506,5121,114514,-29240,85274,46897,11988,3871,8117,34909,38780,-3871,-180563,-48392,-28753,-19639
2021-Nov,5834183,5730400,103783,127928,97906,11762,9087,9173,-24145,-31851,7789,738,-821,2339995,2305872,34123,27878,6245,137906,-32326,105580,54223,12806,20999,-8193,41417,44810,-3393,53370,213173,289881,-76708
2021-Oct,5082558,5104652,-22094,-46454,-50865,15300,11489,-22378,24360,7343,15960,506,551,2195330,2166169,29161,33297,-4136,7067,-33314,-26247,62638,34234,41931,-7697,28404,25418,2986,113323,149714,155305,-5591
2021-Sep,5324338,5310107,14231,14440,8946,16866,1342,-12714,-209,-7582,5860,-250,1763,2312107,2299688,12419,22078,-9659,26650,-36701,-10051,-11557,3929,6506,-2577,-15486,-9072,-6414,18061,-3547,5762,-9309
